Age_Gyr,age_err,N,sigma_r_kms,sigma_r_err,sigma_phi_kms,sigma_phi_err,sigma_z_kms,sigma_z_err
1.4,0.4,100,21.7,1.9,12.0,1.4,8.6,1.1
1.9,0.3,100,21.4,1.9,16.7,1.6,10.1,1.1
2.4,0.2,100,27.8,2.5,18.9,1.7,10.5,1.1
2.8,0.2,100,32.7,2.7,18.4,1.7,11.0,1.2
3.3,0.2,132,31.3,2.3,16.8,1.4,11.9,1.0
3.8,0.3,196,30.1,1.6,16.9,1.1,11.7,0.8
4.3,0.3,277,34.7,1.6,17.8,0.9,12.6,0.7
4.9,0.4,304,36.8,1.7,21.2,1.0,16.8,0.8
5.6,0.4,255,39.3,2.0,22.1,1.1,17.7,0.9
6.4,0.5,188,42.5,2.5,23.0,1.3,18.3,1.1
7.2,0.5,106,43.8,3.3,24.2,2.0,23.3,1.7
8.5,0.8,57,51.8,5.6,25.8,2.9,23.3,2.6
